"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"huhi","Golden Guardians","Support",11,"45%","45%",9,22,60,3.1,"69.0%","9.0%","17.2%","36%",121,101,-2.1,1,"2.9%",148,"8.4%","8.5%",1.79,0.51
"Huni","Evil Geniuses","Top",11,"45%","45%",31,31,64,3.1,"68.8%","22.5%","19.7%","36%",76,-33,-3.5,7.7,"26.6%",486,"24.5%","23.3%",0.24,0.13
"IgNar","FlyQuest","Support",14,"64%","50%",10,36,119,3.6,"69.0%","5.3%","25.5%","36%",94,41,4.7,1,"2.6%",118,"6.1%","8.6%",1.55,0.36
"Impact","Team Liquid","Top",8,"63%","25%",20,25,58,3.1,"69.6%","17.9%","25.3%","25%",-139,-97,-3.5,7.3,"21.4%",392,"20.8%","20.9%",0.45,0.08
"Jensen","Team Liquid","Middle",8,"63%","63%",23,14,52,5.4,"67.0%","20.5%","14.1%","0%",-68,7,-1.8,9.4,"29.9%",540,"28.1%","25.9%",0.37,0.26
"Johnsun","Dignitas","ADC",3,"0%","33%",6,5,8,2.8,"70.0%","30.0%","11.6%","0%",285,277,7,8.9,"29.6%",422,"27.4%","27.7%",0.43,0.3
"Licorice","Cloud9","Top",11,"45%","73%",30,31,85,3.7,"72.3%","18.9%","20.0%","27%",-199,-200,-1.4,7.6,"25.2%",509,"24.0%","23.4%",0.46,0.16
"Nisqy","Cloud9","Middle",11,"45%","36%",37,34,62,2.9,"62.3%","23.3%","21.9%","27%",-41,-62,-2.4,7.9,"23.6%",475,"23.0%","22.8%",0.47,0.13
"Poome","100 Thieves","Support",3,"0%","100%",3,23,6,0.4,"40.9%","13.6%","38.3%","33%",-235,-432,-1.7,0.9,"2.6%",149,"8.6%","7.4%",1.37,0.23
"PowerOfEvil","FlyQuest","Middle",14,"64%","64%",54,25,91,5.8,"77.5%","28.9%","17.7%","36%",249,43,2.5,8.9,"27.4%",622,"32.1%","25.6%",0.44,0.28
"Ryoma","100 Thieves","Middle",3,"0%","33%",3,8,9,1.5,"54.5%","13.6%","13.3%","33%",-160,178,-0.3,7.7,"25.9%",416,"22.5%","23.4%",0.31,0.15
"Santorin","FlyQuest","Jungle",14,"64%","43%",35,25,103,5.5,"73.8%","18.7%","17.7%","50%",30,9,-0.4,5.6,"16.7%",317,"16.0%","17.8%",0.32,0.48
"Solo","FlyQuest","Top",14,"64%","43%",38,33,80,3.6,"63.1%","20.3%","23.4%","14%",-214,-94,-2.8,8,"25.8%",443,"22.7%","23.2%",0.35,0.21
"Spica","Team SoloMid","Jungle",15,"60%","40%",39,30,99,4.6,"77.5%","21.9%","22.4%","53%",229,253,3.3,6,"16.6%",313,"17.3%","18.8%",0.55,0.36
"Ssumday","100 Thieves","Top",3,"0%","33%",3,12,13,1.3,"72.7%","13.6%","20.0%","33%",163,405,11.3,7.8,"26.9%",387,"23.2%","24.0%",0.45,0.29
"Svenskeren","Evil Geniuses","Jungle",11,"45%","27%",45,43,58,2.4,"74.6%","32.6%","27.4%","45%",92,170,3.6,6.2,"18.8%",357,"16.8%","20.2%",0.34,0.49
"Tactical","Team Liquid","ADC",8,"63%","38%",40,18,39,4.4,"70.5%","35.7%","18.2%","0%",0,200,5.1,9.7,"32.3%",613,"30.8%","28.2%",0.39,0.26
"Treatz","Team SoloMid","Support",6,"50%","67%",3,11,43,4.2,"65.7%","4.3%","22.0%","0%",-143,-42,2.8,0.9,"1.9%",123,"7.3%","8.3%",1.39,0.22
"V1per","Dignitas","Top",3,"0%","33%",4,12,8,1,"60.0%","20.0%","27.9%","0%",-476,-314,-10,7.7,"24.6%",312,"20.5%","21.3%",0.43,0.14
"Vulcan","Cloud9","Support",11,"45%","45%",6,20,97,5.2,"64.8%","3.8%","12.9%","18%",-112,203,-5.9,0.7,"1.8%",183,"8.7%","7.8%",1.48,0.17
"WildTurtle","FlyQuest","ADC",14,"64%","50%",50,22,86,6.2,"72.7%","26.7%","15.6%","36%",-14,76,-3.9,8.6,"27.4%",446,"23.1%","24.9%",0.31,0.26
"Zeyzal","Evil Geniuses","Support",11,"45%","27%",10,27,87,3.6,"70.3%","7.2%","17.2%","18%",51,-42,0.2,1.1,"2.5%",202,"9.6%","8.9%",1.66,0.3
"Zven","Cloud9","ADC",11,"45%","45%",42,26,66,4.2,"67.9%","26.4%","16.8%","18%",198,-39,10.6,9,"28.7%",584,"27.6%","25.3%",0.42,0.3
